race_id,馬名,馬番,tags,comment
20260502_TOKYO_01,ロジザボード,5,"[{""label"": ""AI本命◎"", ""type"": ""good""}]",16頭立て中、AIによる総合指数は1位（スコア: 92.0）。本モデルが算出した各種ファクターの中で最も高い評価を獲得しており、今回のレースにおける絶対的な中心候補だ。鞍上は岩田康騎手が務める。極端な不利のない枠番から、馬の持ち味をどう引き出すか注目したい。
20260502_TOKYO_01,ハニーアンバー,7,"[{""label"": ""対抗○"", ""type"": ""good""}]",16頭立て中、AIによる総合指数は2位（スコア: 89.2）。指数トップの馬とはわずか2.8ポイント差に迫っており、展開の綾や枠順の利で十分に逆転可能な圏内にいる。鞍上は横山和騎手が務める。極端な不利のない枠番から、馬の持ち味をどう引き出すか注目したい。
20260502_TOKYO_01,トルマリンテソーロ,11,[],16頭立て中、AIによる総合指数は3位（スコア: 67.6）。上位馬と遜色ない能力スコアをマークしており、連軸やフォーメーションの2列目として馬券内に食い込むポテンシャルは極めて高い。鞍上は野中騎手が務める。極端な不利のない枠番から、馬の持ち味をどう引き出すか注目したい。
20260502_TOKYO_01,ミエスタ,1,"[{""label"": ""好枠(内)"", ""type"": ""neutral""}]",16頭立て中、AIによる総合指数は4位（スコア: 31.5）。上位馬と遜色ない能力スコアをマークしており、連軸やフォーメーションの2列目として馬券内に食い込むポテンシャルは極めて高い。内枠（1枠）を引き当てたことでロスなく立ち回れるのは大きなプラス材料。鞍上のルメール騎手がいかに内を捌いて導くかが勝負の分かれ目になりそうだ。
20260502_TOKYO_01,ホワイトオパール,9,"[{""label"": ""AI穴▲"", ""type"": ""good""}]",16頭立て中、AIによる総合指数は5位（スコア: 29.4）。トップとの指数差が62.6とやや開いており、能力だけでねじ伏せるには厳しい。上位進出には展開の助けや極端な馬場バイアスが必要になるだろう。鞍上は黛騎手が務める。極端な不利のない枠番から、馬の持ち味をどう引き出すか注目したい。
20260502_TOKYO_01,ミヤエスケープ,14,"[{""label"": ""外枠"", ""type"": ""neutral""}]",16頭立て中、AIによる総合指数は6位（スコア: 25.4）。トップとの指数差が66.6とやや開いており、能力だけでねじ伏せるには厳しい。上位進出には展開の助けや極端な馬場バイアスが必要になるだろう。外枠（7枠）に入ったことで距離ロスや展開の不利を受けるリスクがある。横山武騎手の手腕によるポジション取りがカギを握る。
20260502_TOKYO_01,アンジュブルー,3,"[{""label"": ""好枠(内)"", ""type"": ""neutral""}]",16頭立て中、AIによる総合指数は7位（スコア: 23.1）。トップとの指数差が68.9とやや開いており、能力だけでねじ伏せるには厳しい。上位進出には展開の助けや極端な馬場バイアスが必要になるだろう。内枠（2枠）を引き当てたことでロスなく立ち回れるのは大きなプラス材料。鞍上の木幡巧騎手がいかに内を捌いて導くかが勝負の分かれ目になりそうだ。
20260502_TOKYO_01,リワードシュテルン,12,[],16頭立て中、AIによる総合指数は8位（スコア: 21.6）。トップとの指数差が70.4とやや開いており、能力だけでねじ伏せるには厳しい。上位進出には展開の助けや極端な馬場バイアスが必要になるだろう。鞍上は横山典騎手が務める。極端な不利のない枠番から、馬の持ち味をどう引き出すか注目したい。
20260502_TOKYO_01,タマモチョコチップ,13,"[{""label"": ""外枠"", ""type"": ""neutral""}]",16頭立て中、AIによる総合指数は9位（スコア: 21.4）。トップとの指数差が70.6とやや開いており、能力だけでねじ伏せるには厳しい。上位進出には展開の助けや極端な馬場バイアスが必要になるだろう。外枠（7枠）に入ったことで距離ロスや展開の不利を受けるリスクがある。原騎手の手腕によるポジション取りがカギを握る。
20260502_TOKYO_01,マーマレードスカイ,2,"[{""label"": ""好枠(内)"", ""type"": ""neutral""}]",16頭立て中、AIによる総合指数は10位（スコア: 21.3）。トップとの指数差が70.7とやや開いており、能力だけでねじ伏せるには厳しい。上位進出には展開の助けや極端な馬場バイアスが必要になるだろう。内枠（1枠）を引き当てたことでロスなく立ち回れるのは大きなプラス材料。鞍上の松岡騎手がいかに内を捌いて導くかが勝負の分かれ目になりそうだ。
